d_type,noise_type,seed,d_char,alloy,length,stress,dydx_mean
partial,SF-noise,16,edge,AlMg10,215,51,3.421253599230264e-10
partial,SF-noise,16,edge,AlMg10,215,101,8.956747146502368e-10
partial,SF-noise,20,edge,AlMg10,215,1,1.4072924141121656e-15
partial,SF-noise,20,edge,AlMg10,215,51,3.037396235587604e-14
partial,SF-noise,20,edge,AlMg10,215,63,1.5162702490384247e-11
partial,SF-noise,20,edge,AlMg10,215,70,3.114871570159033e-10
partial,SF-noise,20,edge,AlMg10,215,76,6.227981133316624e-10
partial,SF-noise,20,edge,AlMg10,215,101,9.297358182509746e-10
partial,SF-noise,18,edge,AlMg10,215,1,-5.7769940813139544e-15
partial,SF-noise,18,edge,AlMg10,215,26,-3.661757221948049e-16
partial,SF-noise,18,edge,AlMg10,215,39,3.4574213378878694e-14
partial,SF-noise,18,edge,AlMg10,215,46,3.3859219047581993e-10
partial,SF-noise,18,edge,AlMg10,215,51,2.1593409497853719e-10
partial,SF-noise,18,edge,AlMg10,215,101,7.823220355203594e-10
partial,SF-noise,1,edge,AlMg10,215,1,-1.4872389931637593e-15
partial,SF-noise,1,edge,AlMg10,215,51,8.528542274887733e-15
partial,SF-noise,1,edge,AlMg10,215,63,5.734772956081524e-13
partial,SF-noise,1,edge,AlMg10,215,70,7.829554290040041e-12
partial,SF-noise,1,edge,AlMg10,215,76,1.1026449335116829e-10
partial,SF-noise,1,edge,AlMg10,215,101,7.333914074928552e-10
partial,SF-noise,6,edge,AlMg10,215,1,-3.546573954835442e-15
partial,SF-noise,6,edge,AlMg10,215,26,-1.3179086592656971e-15
partial,SF-noise,6,edge,AlMg10,215,39,1.6916540416008162e-15
partial,SF-noise,6,edge,AlMg10,215,46,1.558179662095866e-11
partial,SF-noise,6,edge,AlMg10,215,51,5.071039684116888e-10
partial,SF-noise,6,edge,AlMg10,215,101,8.310342111999914e-10
partial,SF-noise,8,edge,AlMg10,215,1,-1.6714659035110476e-15
partial,SF-noise,8,edge,AlMg10,215,51,1.786860477109564e-15
partial,SF-noise,8,edge,AlMg10,215,56,-4.520578563898513e-15
partial,SF-noise,8,edge,AlMg10,215,63,2.1150281229740177e-10
partial,SF-noise,8,edge,AlMg10,215,76,2.9070423284780347e-10
partial,SF-noise,8,edge,AlMg10,215,101,8.461334172992021e-10
